Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
IVTT3,0.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","-0,40%",0.0,1083050000.0,0.0,"20,67%"
PORP4,2.4,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","-2,08%",0.0,22399000.0,0.0,"13,66%"
MNSA4,0.47,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"-208,15%","-362,66%",3.63,"-13,50%","145,70%",0.0,-9105000.0,-6.52,"-41,11%"
MNSA3,0.42,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"-208,15%","-362,66%",3.63,"-13,50%","145,70%",0.0,-9105000.0,-6.52,"-41,11%"
CLAN3,0.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","-1,05%",0.0,1012240000.0,0.0,"-63,96%"
CFLU4,1000.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"8,88%","10,72%",1.1,"17,68%","32,15%",0.0,60351000.0,0.06,"8,14%"
POPR4,10.17,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"8,66%","5,65%",1.08,"15,25%","19,93%",0.0,545803000.0,0.82,"30,93%"
PMET3,0.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","4,10%",0.0,-290863000.0,0.0,"37,74%"
CSTB3,150.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"40,85%","28,98%",2.6,"22,40%","20,11%",0.0,8420670000.0,0.14,"31,91%"
CSTB4,147.69,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"40,85%","28,98%",2.6,"22,40%","20,11%",0.0,8420670000.0,0.14,"31,91%"
GNDI3,66.95,-3584.82,5.84,3.423,"2,39%",2.378,79.65,87.05,-6.21,91.13,50.88,"3,93%","-0,09%",1.17,"3,09%","-0,16%",0.0,7116080000.0,0.53,"25,23%"
PRNR3,12.29,-1764.5,2.1,0.473,"0,00%",0.66,3.97,5.15,-4.19,7.08,5.18,"9,20%","3,22%",1.49,"15,44%","-0,12%",2531900.0,227184000.0,1.2,"36,30%"
ATOM3,2.21,-649.49,2.88,2.243,"14,50%",1.871,2.03,-17.94,2.98,-10.92,-11.73,"-12,50%","-0,35%",17.09,"-40,57%","-0,44%",27209.8,18297000.0,0.0,"20,53%"
PLDN4,486.0,-553.07,1.08,0.919,"0,00%",0.611,1.07,-75.56,3.1,-33.12,-33.12,"-1,22%","-0,17%",10.81,"-1,27%","-0,20%",0.0,289939000.0,0.01,"10,26%"
LVTC3,4.09,-500.89,0.41,0.276,"0,33%",0.19,0.68,1.25,-2.02,0.78,0.41,"22,13%","-0,06%",2.75,"17,37%","-0,08%",91035.0,644883000.0,0.0,"-10,31%"
GUAR4,151.0,-465.97,15.12,8.708,"0,00%",5.467,22.57,357.43,-748.3,365.57,92.92,"2,44%","-1,87%",1.62,"1,94%","-3,24%",0.0,4986780000.0,0.75,"5,42%"
EMBR3,22.74,-412.28,1.32,0.627,"0,00%",0.323,1.45,7.59,-1.96,10.48,6.86,"8,27%","-0,26%",1.65,"5,60%","-0,32%",141896000.0,12757400000.0,1.12,"21,60%"
LWSA3,6.03,-405.65,1.23,2.875,"0,87%",0.799,6.12,52.11,11.03,37.07,13.84,"5,52%","-0,71%",1.45,"2,05%","-0,30%",52416500.0,2921510000.0,0.02,"41,70%"
LCSA4,35.09,-337.52,-228.0,79.738,"0,00%",125.308,-202.27,-505.8,-96.61,-506.56,-506.56,"-15,77%","-23,63%",0.29,"-28,74%","67,55%",0.0,-377568000.0,-0.35,"6.354,07%"
BHGR3,19.1,-272.16,1.1,3.613,"0,00%",0.855,-194.45,23.7,-8.56,25.95,14.2,"15,24%","-1,31%",0.96,"3,93%","-0,40%",0.0,1077600000.0,0.2,"20,67%"
DMMO3,1.76,-258.65,-1.72,2.854,"0,00%",3.346,11.9,6.37,-1.37,5.9,5.42,"44,81%","-1,10%",2.25,"70,39%","0,66%",0.0,-553275000.0,0.0,"-17,37%"
RJCP3,0.01,-224.7,0.65,0.0,"0,00%",0.619,0.0,-522.94,0.0,-523.96,-917.32,"0,00%","0,00%",0.0,"0,00%","-0,29%",0.0,17287200.0,0.0,"0,00%"
ABYA3,4.91,-214.8,1.76,2.055,"0,00%",0.527,1.98,19.96,-2.75,33.67,33.67,"10,29%","-0,96%",2.09,"2,78%","-0,82%",0.0,292060000.0,1.31,"16,41%"
PITI4,1.28,-204.74,0.0,0.0,"0,00%",0.0,0.0,-2637.65,0.0,-2637.65,111.07,"0,00%","0,00%",0.0,"0,00%","0,00%",0.0,0.0,0.0,"-29,63%"
